OBJECTID,LOCATION,FORMAL_NAME,LOC_CODE,PARK_TYPE,PARK_CLASS,GIS_ACRES,DESIGNATED,FIRST_AQ_DATE,MASTER_PLAN,MAINT_DIST,COUNCIL_DIST,POLICE_DIST,CROSS_STREETS,ADDRESS_ID,ADDRESS_LINE1,ADDRESS_LINE2,CITY,STATE,ZIP,LATITUDE,LONGITUDE,MARKETING_CODE,FACILITIES,DIAGRAM,PHOTO,PARCEL_MATCH,BND_QC,GLOBALID,Shape__Area,Shape__Length
31,Elyria,Elyria Park,204,Park,Neighborhood,2.56159379,Yes - 1956,1911,2005,NW,9,2,48th Av & High St,263317,4809 N Race St,,Denver,CO,,39.78447628,-104.96401321,PK,"Recreation Center, Drinking Fountain, Picnic Tables, Playground, Basketball Court, Baseball / Softball Field, Sand Volleyball Court, Benches, Skate Park",ParkArt_Elyria Park.pdf,elriapark.jpg,Yes,3/24/2009 12:00:00 AM,3773aed3-d74c-4d35-8fa9-8aa92783cbf6,111582.578613281,1409.77665539172
32,Town Center,Town Center Park,558,Park,Community,25.55634575,Yes - 2015,2008/2015,2005,NE,11,5,49th Av & Argonne St,225863,5050 N Argonne St,,Denver,CO,,39.7877779,-104.76749197,PK,"Recreation Center, Lake, Restroom, Drinking Fountain, Playground, Benches, Picnic Shelter, Baseball / Softball Field, Basketball Court, Skate Park, Bike/Pedestrian Path",ParkArt_Town Center Park.pdf,towncenterpark.jpg,No,1/6/2017 12:00:00 AM,b941fdb7-e7b1-4f96-bcbc-ea440b7d9a43,1113229.96435547,8869.26609046909
34,Harvard Gulch Golf Course,Harvard Gulch Golf Course,GH1,Golf,Golf,12.9564356,Yes - 1977,1977,1991,SW,7,4,Iliff Av & Pearl St,165438,660 E Iliff Ave,,Denver,CO,,39.67244904,-104.97886048,,Golf Course,HarvardGulchGolfCourse.pdf,,No,12/23/2008 12:00:00 AM,6736047f-83cc-4b26-add4-4253793c360f,564380.078125,3478.74004157789
35,Harvard Gulch,Harvard Gulch Park,829,Park,Community,38.14248766,Yes - 1977,1977,1991,SW,7,4,Harvard Av & Logan St,165857,550 E Iliff Ave,,Denver,CO,,39.6732092,-104.97986219,PK,"Recreation Center, Picnic Tables, Playground, Bike/Pedestrian Path, Outdoor Pool, Golf Course, Soccer Field, Baseball / Softball Field, Basketball Court, Benches, Parking Lot, Fitness Equipment",ParkArt_Harvard Gulch Park.pdf,harvardgulchpark.jpg,Yes,12/23/2008 12:00:00 AM,c4f377dc-00b1-433c-bad8-110e11e1d531,1661480.11865234,9879.50281327704
36,Green Valley Ranch East,Green Valley Ranch East Park,550,Park,Community,13.4557172,Yes - 2013,1984,2009,NE,11,5,47th Av & Jebel St,6987,4455 Jebel St,,Denver,CO,,39.77883643,-104.75080728,PK,"Dog Park, Benches, Drinking Fountain, Picnic Shelter, Picnic Tables, Playground, Football Field, Baseball / Softball Field, Tennis Court, Basketball Court, Outdoor Pool, Sand Volleyball Court, Parking Lot, Picnic Area",ParkArt_Green Valley Ranch East Park.pdf,greenvalleyranchpark.jpg,No,5/6/2009 12:00:00 AM,3470ba7b-7d1b-412e-883a-73c6ca014f42,586128.692871094,3339.95821630971
38,Village Place,Village Place Park,540,Park,Neighborhood,9.78021339,Yes,1979,None,NE,8,5,Anaheim Ct & Albrook Dr,186733,14029 E Albrook Dr,,Denver,CO,,39.77793424,-104.83270966,PK,"Benches, Drinking Fountain, Picnic Shelter, Flower Beds, Picnic Tables, Playground, Basketball Court, Soccer Field, Baseball / Softball Field, Bike/Pedestrian Path, Picnic Area",ParkArt_Village Place Park.pdf,villageplacepark.jpg,Yes,11/25/2008 12:00:00 AM,c72b8435-bf21-471b-9942-ffc29556709d,426024.392089844,2627.61464135634
39,Aspgren,Aspgren (Clifford) Park,801,Park,Neighborhood,3.68072829,Yes - 1956,1956,None,SW,7,4,Exposition Av & Lipan St,356725,1201 W Exposition Ave,,Denver,CO,,39.70443418,-105.0026841,PK,"Picnic Tables, Playground, Baseball / Softball Field",ParkArt_Aspgren (Clifford) Park.pdf,aspgrenpark.jpg,Yes,7/17/2009 12:00:00 AM,77405ff0-4341-48e2-8ca4-594792545383,160331.8828125,1737.8090502001
40,Dunham,Dunham (Lee) Park,209,Park,Neighborhood,2.4585138,Yes - 1956,1892,None,NW,9,2,44th Av & Clayton St,356587,4401 N Clayton St,,Denver,CO,,39.77830207,-104.95469686,PK,"Benches, Picnic Tables, Playground, Basketball Court, Baseball / Softball Field",ParkArt_Dunham (Lee) Park.pdf,dunhampark.jpg,Yes,3/24/2009 12:00:00 AM,7f32730a-a614-4a2d-b62f-7b096e7e814a,107092.433105469,1335.38534714142
41,Weir Gulch South,Weir Gulch Park - South,837,Park,Linear,10.50975671,Partial,1960,2010,SW,3,4,Sheridan & Center to Alameda & Xavier,,4900 W Alameda Ave,,Denver,CO,,39.70775766,-105.04977835,PK,"Bike/Pedestrian Path, Weir Gulch Trail, Open Space, Natural Areas",ParkArt_Weir Gulch Park South.pdf,no_imagerec.gif,No,2/18/2009 12:00:00 AM,0666f3bd-e2c8-4977-ae55-113e40ee584c,457803.172851563,8750.10856826287
42,Aztlan,Aztlan Park,032,Park,Neighborhood,3.68850219,Yes - 2007,1974,None,NW,1,1,44th Av & Navajo St,32090,4435 N Navajo St,,Denver,CO,,39.77756472,-105.00474827,PK,"Recreation Center, Benches, Picnic Tables, Playground, Outdoor Pool, Basketball Court, Baseball / Softball Field, Soccer Field",ParkArt_Aztlan Park.pdf,atzlanpark.jpg,Yes,11/20/2008 12:00:00 AM,e8ab4c77-eb2f-493e-ab51-7d2bb4c45d40,160670.512695313,1818.6589415259
43,Chaffee,Chaffee (Jerome B) Park,003,Park,Neighborhood,5.04008603,Partial - 1956,1892,None,NW,1,1,43rd Av & Tejon St,356583,1901 W 43rd Ave,,Denver,CO,,39.77651415,-105.0105969,PK,"Benches, Drinking Fountain, Picnic Tables, Playground, Restroom, Basketball Court, Baseball / Softball Field",ParkArt_Chaffee (Jerome B) Park.pdf,chaffeepark.jpg,No,11/20/2008 12:00:00 AM,2f211f50-d261-45b8-b1bf-c24637ffc36e,220696.068359375,2135.9867090979
45,Ashland Rec Center,Ashland Recreation Center,031,Grounds,Recreation Center,1.44146443,Yes,1977,None,NW,1,1,Dunkeld & Fife,47879,2501 W Dunkeld Pl,,Denver,CO,,39.75987926,-105.01812831,,Recreation Center, ,,No,1/1/2014 12:00:00 AM,1deed062-59ec-464f-99d7-3accfc74dc3c,62789.9409179688,1028.82714208984
46,Chavez,Chavez (Cesar E) Park,035,Park,Neighborhood,2.54396562,Yes,1977,2013,NW,1,1,41st Av & Tennyson St,28389,4131 N Tennyson St,,Denver,CO,,39.77361374,-105.04459286,PK,"Picnic Tables, Benches, Playground, Basketball Court, Baseball / Softball Field, Picnic Area, Bocce Ball Court, Ping Pong Table ",ParkArt_Chavez (Cesar E) Park.pdf,chavezpark.jpg,Yes,11/7/2008 12:00:00 AM,3b926807-36d3-431f-9032-6a89702cec9f,110814.697265625,1423.1765839747
49,Stout St Children's,Stout Street Children's Park,221,Park,Pocket,0.21612444,Yes,1969,None,NW,9,6,25th St & Stout St,171018,2501 Stout St,,Denver,CO,,39.75461099,-104.98224909,PK,"Picnic Tables, Playground, Basketball Court",ParkArt_Stout Street Childrens' Park.pdf,stoutchildrenspark.jpg,Yes,3/14/2023 12:00:00 AM,a7ffac7d-8586-41e8-bc00-74d332812152,9414.34326171875,400.818589903332
50,Schafer,Schafer (Martin J) Park,218,Park,Neighborhood,8.90168264,Yes - 1956,1948,None,NW,9,2,37th Av & Clayton St,37631,3724 N Columbine St,,Denver,CO,,39.76873503,-104.95612086,PK,"Playground, Baseball / Softball Field, Basketball Court, Football Field, Tennis Court, Picnic Tables, Bike/Pedestrian Path",ParkArt_Schafer (Martin J) Park.pdf,schaferpark.jpg,Yes,2/4/2009 12:00:00 AM,7f63f116-3fd6-4018-a957-4ee1cb7d6fca,387755.744140625,2813.4204176611
51,Commons,Commons Park,902,Park,Community,17.60817983,Yes,1995,2002,Downtown,1,6,15th St & Little Raven St,54067,2101 15th St,,Denver,CO,,39.75672383,-105.00525407,PK,"Benches, Restroom, Drinking Fountain, Bike/Pedestrian Path, South Platte River Trail, Walking/Jogging Paths, Natural Areas",ParkArt_Commons Park.pdf,commonspark.jpg,Yes,3/11/2009 12:00:00 AM,d7c082b1-4a04-4536-bff2-84e87b073b19,767009.242675781,4755.0153505271
53,MacIntosh,MacIntosh (Kenneth M) Park,236,Park,Pocket,0.32557924,Yes - 1982,1982,None,Downtown,10,6,15th St & Cleveland Pl,168091,201 W Colfax Ave,,Denver,CO,,39.74054014,-104.98952145,,"Bike/Pedestrian Path, Memorial / Monument", ,no_imagerec.gif,No,1/21/2009 12:00:00 AM,ebf3de88-f8d1-440f-a988-132b14240e77,14182.17578125,761.359624281588
55,Eastmoor,Eastmoor Park,606,Park,Neighborhood,11.99193827,Yes,1972,None,E,4,3,Princeton Av & Oneida St,356943,6900 E Princeton Ave,,Denver,CO,,39.63981143,-104.90875465,PK,"Benches, Drinking Fountain, Picnic Tables, Picnic Shelter, Playground, Basketball Court, Bike/Pedestrian Path, Soccer Field, Natural Areas, Picnic Area, Fitness Equipment",ParkArt_Eastmoor Park.pdf,eastmoorpark.jpg,No,1/9/2009 12:00:00 AM,8149ae01-2280-435e-8f7e-d08dafd31f86,522366.743164063,3325.29652405423
56,Cuatro Vientos,Cuatro Vientos / Four Winds Park,825,Park,Neighborhood,1.17946994,Yes - 2014,2009,2014,SW,3,4,Alameda Av & Newton St,95323,3800 W Alameda Ave,,Denver,CO,,39.71082136,-105.03788209,PK,"Playground, Picnic Shelter, Benches, Picnic Tables, Basketball Court, Interactive Fountain, Picnic Area, Skate Park",ParkArt_Cuatro Vientos Park.pdf,no_imagerec.gif,Yes,10/22/2009 12:00:00 AM,7f9a06ff-8cda-48a4-a7d2-eab2e32d58e2,51377.5063476563,914.397014826074
59,41st & Ensenada,Unnamed 41st & Ensenada Park,524,Park,Neighborhood,5.08567977,Yes - 2013,1997,2004,NE,11,5,41st Av & Ensensada St,177071,4100 N Ensenada St,,Denver,CO,,39.77279709,-104.75840388,PK,"Benches, Picnic Tables, Playground, Picnic Shelter, Bike/Pedestrian Path",ParkArt_Unnamed 41st and Ensenada Park.pdf,41stensenadapark.jpg,Yes,5/6/2009 12:00:00 AM,0bcace7b-fca4-4f28-b698-dcc16ee1980f,221531.317871094,2405.2564451827
60,Pasquinel's Landing,Pasquinel's Landing,914,Park,Neighborhood,3.38511713,Yes - 2015,1976,None,SW,7,4,Evans Av & S Platte River Dr,357640,801 W Evans Ave,,Denver,CO,,39.67958681,-104.99775139,PK,"Bike/Pedestrian Path, Fitness Equipment, Picnic Tables, South Platte River Trail, Playground (Nature Play)",ParkArt_Pasquinel's Landing.pdf,pasquinelslandingpark.jpg,No,5/28/2009 12:00:00 AM,d4c51787-471a-4c2a-a777-965e289bb42d,147455.116210938,1857.66419835589
63,Forsberg,Forsberg Park,M25,Conservation Tract,Mountain,3.15953516,Yes,1918,2008,MP,None,None,,,,,,CO,,39.69088985,-105.41877611,CA,Conservation Area.  No Public Access., ,no_imagerec.gif,,5/24/2010 12:00:00 AM,aa387712-c89c-4ed5-ae80-663d7bc023dd,137628.800292969,1619.1729923118
64,Bergen Peak,Bergen Peak Tract,M05,Conservation Tract,Mountain,621.3605453,Yes,1926,2008,MP,None,None,,,,,,CO,,39.66986959,-105.38605287,CA,Conservation Area.  No Public Access., ,berganpeakpark.jpg,,5/21/2010 12:00:00 AM,ab9a1b59-c092-4598-8bb4-3707709e8b26,27553916.4526367,36559.9145756256
65,Frog Hollow,Frog Hollow Park,906,Park,Linear,5.66638238,No,1976,None,SW,3,1,8th Av & Zuni St,356963,2350 W 8th Ave,,Denver,CO,,39.72790135,-105.01542877,PK,"Drinking Fountain, Picnic Tables, Bike/Pedestrian Path, South Platte River Trail",ParkArt_Frog Hollow Park.pdf,froghollowpark.jpg,No,10/7/2009 12:00:00 AM,4e9e53b3-0c84-41d9-887c-c8e0b3eafcdb,246826.626953125,3163.01645721379
66,Richthofen,Richthofen Memorial Fountain,467,Park,Pocket,0.12457254,Yes,1969,None,E,5,3,Oneida St & Oneida Pl,,1120 N Oneida St,,Denver,CO,,39.73348895,-104.9079275,,"Fountain, Memorial / Monument",ParkArt_Richthofen Memorial Fountain.pdf,no_imagerec.gif,No,9/16/2009 12:00:00 AM,494a723b-b016-4d51-b96a-2fdf17ad238a,5426.35693359375,300.33004904753
67,Aqua Golf,Aqua Golf at Overland,GA1,Golf,Golf,14.11172182,Yes - 2017,1976,N/A,SW,7,4,Florida Av & Santa Fe Dr,104666,501 W Florida Ave,,Denver,CO,,39.69042043,-104.99497669,,"Miniature Golf Course, Driving Range",OverlandGolfCourse.pdf,,No,,ec4997e2-20a8-4c75-8ac1-83fda378c199,614704.146484375,3090.02366600799
68,Overland Pond,Overland Pond Park,913,Open Space,Open Space,8.50130623,Yes - 2017,1976,None,SW,7,4,Florida Av & Platte River Dr,157273,955 W Florida Ave,,Denver,CO,,39.6898504,-104.9977044,PK,"Lake, Benches, Picnic Tables, Bike/Pedestrian Path: South Platte River Trail, Parking Lot, Natural Areas",ParkArt_Overland Pond Park.pdf,overlandpondpark.jpg,No,9/16/2009 12:00:00 AM,83d096a0-132f-4470-88b6-bfbe6c8c4a86,370315.418945313,2739.01860972967
69,Colorado Blvd Park,Colorado Blvd Park,232,Park,Linear,1.52200285,Not Eligible,N/A - ROW (1960s),None,NW,9,2,38th Av & Colorado Blvd,356854,3865 N Colorado Blvd,,Denver,CO,,39.77053413,-104.94082063,,Bike/Pedestrian Path,ParkArt_Colorado Blvd Park.pdf,no_imagerec.gif,No,8/19/2009 12:00:00 AM,da06b24d-4122-4959-a026-fac050b2bb58,66298.177734375,2158.0681444784
70,Harvard Gulch North,Harvard Gulch North Park,842,Park,Athletic Complex,8.21903464,Yes,1980,None,SW,7,4,Clarkson St & Iliff Av,356560,2201 S Clarkson St,,Denver,CO,,39.67582735,-104.97930212,PK,"Soccer Field, Football Field, Bleachers, Running Track, Parking Lot",ParkArt_Harvard Gulch North Park.pdf,christianpark.jpg,Yes,12/23/2008 12:00:00 AM,d72b5429-5164-4e23-9dab-d3c2ac7f3f34,358019.718261719,2393.82469121215
